restaurant,cuisine,rating,number of reviews,cost_for_two,locality,delivery time ,type
Garam Dharam,"North Indian,Chinese,Street Food,South Indian,Fast Food,Desserts,Beverages",4.1,"2,051","₹1,700","Mohan Nagar, Ghaziabad",10mins,dining
Sardari,"North Indian,Fast Food,Chinese,Biryani,Momos,Desserts,Healthy Food,Ice Cream",4.1,92,₹800,"Crossing Republik, Ghaziabad",10mins,dining
Sky Grill - A Mediterranean Experience,"Grilled Chicken,Mediterranean,Italian,European,Pizza,Pasta,Bar Food,Desserts",4.2,134,"₹2,000","Kaushambi, Ghaziabad",25mins,dining
Barista Coffee,"Cafe,Coffee,Tea,Fast Food,Beverages,Desserts",4.4,"2,251",₹700,"Indirapuram, Ghaziabad",10mins,dining
Yanny's,"North Indian,Street Food,Chinese,Salad,Desserts,Beverages",4.3,"3,055","₹2,000","Indirapuram, Ghaziabad",10mins,dining
Ru-Bar-Ru,"North Indian,Continental,Mexican,Chinese",4.2,274,"₹3,100","Kaushambi, Ghaziabad",10mins,dining
Clubate By Swadesi Tandoor,"North Indian,Chinese,Continental,Pizza,Coffee,Shake,Beverages",4.2,"2,183","₹2,000","Indirapuram, Ghaziabad",25mins,dining
Blue Tokai Coffee Roasters,Coffee,4.2,"1,646",₹600,"Indirapuram, Ghaziabad",not available,dining
Cinnamon Courtyard,"Continental,Pizza,Wraps,Pasta,Chinese,North Indian,Mughlai,Beverages",4.2,96,"₹1,400","Indirapuram, Ghaziabad",10mins,dining
Crops & Curries,"North Indian,Chinese,Biryani,Pizza,Beverages",3.9,958,"₹1,200","Raj Nagar, Ghaziabad",20mins,dining
Namaste Flavours,"North Indian,Chinese,Pizza,Pasta,Momos,Beverages,Desserts",3.7,109,₹450,"Vaishali, Ghaziabad",not available,dining
Imperfecto,"North Indian,Continental,Asian,Kebab,Mughlai,American,Pakistani,Kerala",4.0,"4,174","₹2,500","Indirapuram, Ghaziabad",not available,dining
Shree Jee Restaurant,"North Indian,Chinese,South Indian,Street Food,Fast Food,Desserts,Beverages",4.1,"1,462","₹1,000","Govind Puram, Ghaziabad",not available,dining
Bikanervala,"Mithai,North Indian,South Indian,Chinese,Fast Food,Street Food,Beverages,Desserts",4.0,"7,422",₹600,"Raj Nagar Extension, Ghaziabad",not available,dining
Barbeque Nation,"North Indian,BBQ,Kebab,Biryani",4.1,56,"₹1,800","Indirapuram, Ghaziabad",not available,dining
Aurum Dine - In,"North Indian,Fast Food,Chinese,Shake,Coffee,Beverages",4.0,32,"₹1,000","Chander Nagar, Ghaziabad",not available,dining
Desi vibes,"North Indian,Beverages,Kebab,Mughlai,Afghani,Indian,Desserts,Biryani",4.1,99,"₹1,100","Raj Nagar, Ghaziabad",10mins,dining
La Pino'z Pizza,"Pizza,Italian,Pasta,Fast Food,Desserts,Beverages",3.7,"2,073",₹600,"Vaishali, Ghaziabad",not available,dining
The Yellow Bowl,"Chinese,Momos,Rolls,Fast Food,North Indian,Beverages",4.0,"9,658","₹1,000","Vaishali, Ghaziabad",not available,dining
Swaad Oasis,"North Indian,Chinese,Momos,Shake,Beverages",3.6,217,₹700,"Pratap Vihar, Ghaziabad",not available,dining
Xero Degrees,"Italian,Pizza,Wraps,Sandwich,Burger,Desserts,Momos,Beverages",3.8,"2,619",₹700,"Indirapuram, Ghaziabad",not available,dining
Daalcha By The Yellow Bowl,"Chinese,Momos,Fast Food,Rolls,North Indian,Beverages",4.1,115,₹500,"Vaishali, Ghaziabad",not available,dining
Veg Mantra,"North Indian,Chinese,Fast Food,Street Food",3.9,206,"₹1,000","Mohan Nagar, Ghaziabad",not available,dining
Walk In The Village,"North Indian,Mughlai,Chinese,Kebab",4.0,291,₹850,"Mohan Nagar, Ghaziabad",10mins,dining
The Yellow Chilli,"North Indian,Mughlai,Chinese,Seafood,Biryani,Salad,Desserts,Beverages",4.3,17.2K,"₹2,200","Sahibabad, Ghaziabad",not available,dining
Veu by Duty Free,"North Indian,Chinese,Biryani,Kebab,Asian,Pasta,Beverages",4.0,"1,272","₹1,500","Raj Nagar, Ghaziabad",not available,dining
Mulethi,"North Indian,Chinese,Fast Food",4.4,"2,927","₹1,200","Shalimar Garden, Ghaziabad",10mins,dining
The Grill House,"North Indian,Chinese,Mughlai,Kebab",4.2,20.5K,"₹1,200","Crossing Republik, Ghaziabad",10mins,dining
64/6 -  Country Inn & Suites By Radisson,"North Indian,Chinese,Thai,Continental",4.7,"1,988","₹5,350","Sahibabad, Ghaziabad",15mins,dining
Cafe ElleBee,"Continental,Chinese,Pizza,Fast Food,Shake,Pasta,Desserts,Beverages",4.3,"1,340",₹500,"Raj Nagar, Ghaziabad",not available,dining
Ministry Of Beer,"Indian,Indo-Chinese,Japanese,Mughlai,North Indian,Sushi",4.3,"1,419","₹2,500","Indirapuram, Ghaziabad",15mins,dining
Dhaba 99 Cafe & Kitchen,"North Indian,Chinese,Pizza,Momos,Sandwich,Fast Food,Beverages,Shake",4.1,"8,097",₹900,"Raj Nagar, Ghaziabad",not available,dining
The Barbeque Company,"BBQ,North Indian,Fast Food,Desserts,Beverages",3.9,"3,185","₹2,800","Vaishali, Ghaziabad",10mins,dining
